id,soil_series,texture,slope,erosion,drainage,prod_index,indx,cropland,woodland,year
BETHESDASH-CL0-8SW,BETHESDA,SH-CL,0-8,S,W,33,indx_49,350,230,2017
BETHESDASH-CL8-25SW,BETHESDA,SH-CL,8-25,S,W,25,indx_49,350,230,2017
BETHESDASH-SICL0-8SW,BETHESDA,SH-SICL,0-8,S,W,33,indx_49,350,230,2017
BETHESDASH-SICL8-25SW,BETHESDA,SH-SICL,8-25,S,W,25,indx_49,350,230,2017
BETHESDASH-SIL1-15SW,BETHESDA,SH-SIL,1-15,S,W,28,indx_49,350,230,2017
BETHESDASH-SIL15-25SW,BETHESDA,SH-SIL,15-25,S,W,25,indx_49,350,230,2017
BETHESDASHV-CL3-15SW,BETHESDA,SHV-CL,3-15,S,W,25,indx_49,350,230,2017
BETHESDASHV-CL8-25SW,BETHESDA,SHV-CL,8-25,S,W,25,indx_49,350,230,2017
BETHESDASHV-SIC0-8SW,BETHESDA,SHV-SIC,0-8,S,W,33,indx_49,350,230,2017
BETHESDASICL0-8SW,BETHESDA,SICL,0-8,S,W,26,indx_49,350,230,2017
BETHESDASICL15-25SW,BETHESDA,SICL,15-25,S,W,26,indx_49,350,230,2017
BETHESDASICL2-12SW,BETHESDA,SICL,2-12,S,W,33,indx_49,350,230,2017
BETHESDASICL8-20SW,BETHESDA,SICL,8-20,S,W,26,indx_49,350,230,2017
BETHESDASIL0-8SW,BETHESDA,SIL,0-8,S,W,34,indx_49,350,230,2017
BETHESDASIL8-20SW,BETHESDA,SIL,8-20,S,W,26,indx_49,350,230,2017
BETHESDASIL8-25SW,BETHESDA,SIL,8-25,S,W,26,indx_49,350,230,2017
"BIGLICK-MILTON,C0-2SW","BIGLICK-MILTON,C",,0-2,S,W,54,indx_59,350,230,2017
"BIGLICK-MILTON,C2-6SW","BIGLICK-MILTON,C",,2-6,S,W,54,indx_59,350,230,2017
BIRKBECKSIL0-2SMW,BIRKBECK,SIL,0-2,S,MW,82,indx_89,2290,1290,2017
BIRKBECKSIL1-4SMW,BIRKBECK,SIL,1-4,S,MW,81,indx_89,2190,1190,2017
BIRKBECKSIL2-6MMW,BIRKBECK,SIL,2-6,M,MW,76,indx_79,1740,740,2017
BIRKBECKSIL2-6SMW,BIRKBECK,SIL,2-6,S,MW,79,indx_79,1990,990,2017
"BIXLER,C-SUBSTLS0-2SSWP","BIXLER,C-SUBST",LS,0-2,S,SWP,67,indx_69,1090,230,2017
BIXLERLFS0-2SSWP,BIXLER,LFS,0-2,S,SWP,69,indx_69,1260,230,2017
BIXLERLFS0-3SSWP,BIXLER,LFS,0-3,S,SWP,69,indx_69,1260,230,2017
BIXLERLFS2-6SSWP,BIXLER,LFS,2-6,S,SWP,66,indx_69,1040,230,2017
"BLAIRTON-RARDEN-GILPIN,AS5-20SMW","BLAIRTON-RARDEN-GILPIN,AS",,5-20,S,MW,57,indx_59,350,230,2017
BLAKESLEESIL0-2SMW,BLAKESLEE,SIL,0-2,S,MW,71,indx_79,1440,440,2017
BLAKESLEESIL2-6SMW,BLAKESLEE,SIL,2-6,S,MW,69,indx_69,1310,310,2017
BLAKESLEESIL6-12SMW,BLAKESLEE,SIL,6-12,S,MW,64,indx_69,890,230,2017
BLANCHESTERSICL0-1SVP,BLANCHESTER,SICL,0-1,S,VP,77,indx_79,1790,390,2017
BLANCHESTERSIL0-1SVP,BLANCHESTER,SIL,0-1,S,VP,77,indx_79,1790,390,2017
BLANCHESTERSIL0-2SVP,BLANCHESTER,SIL,0-2,S,VP,79,indx_79,1920,520,2017
BLOUNT-DEL REYSIL1-6SSWP,BLOUNT-DEL REY,SIL,1-6,S,SWP,68,indx_69,1360,230,2017
"BLOUNT-HOUCKTOWN,C0-3SSWP","BLOUNT-HOUCKTOWN,C",,0-3,S,SWP,77,indx_79,2010,230,2017
"BLOUNT-JENERA,C0-3SSWP","BLOUNT-JENERA,C",,0-3,S,SWP,79,indx_79,1860,230,2017
BLOUNTL0-2SSWP,BLOUNT,L,0-2,S,SWP,78,indx_79,1930,230,2017
BLOUNTL0-3SSWP,BLOUNT,L,0-3,S,SWP,78,indx_79,1930,230,2017
BLOUNTL2-6MSWP,BLOUNT,L,2-6,M,SWP,71,indx_79,1400,230,2017
BLOUNTL2-6SSWP,BLOUNT,L,2-6,S,SWP,74,indx_79,1680,230,2017
"BLOUNT,LM-SUBSTSIL0-3SSWP","BLOUNT,LM-SUBST",SIL,0-3,S,SWP,78,indx_79,1930,230,2017
"BLOUNT,L-SUBSTL0-2SSWP","BLOUNT,L-SUBST",L,0-2,S,SWP,78,indx_79,1930,230,2017
"BLOUNT,L-SUBSTL2-6SSWP","BLOUNT,L-SUBST",L,2-6,S,SWP,74,indx_79,1680,230,2017
